240904165905727 Main.main()	INFO: Textos de Don Quijote: 
240904165905752 Main.main()	INFO:  (43 caracteres) : a nuestro cuento; basta que en la narración
240904165905752 Main.main()	INFO:  (18 caracteres) : dél no se salga un
240904165905753 Main.main()	INFO:  (19 caracteres) : punto de la verdad.
240904165905754 Main.main()	INFO: MODA de longitud de palabras: 42
240904165905754 Main.main()	INFO: Textos de Los Mosqueteros: 
240904165905755 Main.main()	INFO:  (41 caracteres) : El primer lunes del mes de abril de 1625,
240904165905755 Main.main()	INFO:  (24 caracteres) : el burgo de Meung, donde
240904165905756 Main.main()	INFO:  (27 caracteres) : nació el autor del Roman de
240904165905756 Main.main()	INFO:  (53 caracteres) : la Rose, parecía estar en una revolución tan completa
240904165905756 Main.main()	INFO:  (37 caracteres) : como si los hugonotes hubieran venido
240904165905757 Main.main()	INFO:  (44 caracteres) : a hacer de ella una segunda Rochelle. Muchos
240904165905757 Main.main()	INFO:  (49 caracteres) : burgueses, al ver huir a las mujeres por la calle
240904165905757 Main.main()	INFO:  (22 caracteres) : Mayor, al oír gritar a
240904165905758 Main.main()	INFO:  (55 caracteres) : los niños en el umbral de las puertas, se apresuraban a
240904165905758 Main.main()	INFO:  (34 caracteres) : endosarse la coraza y, respaldando
240904165905758 Main.main()	INFO:  (45 caracteres) : su aplomo algo incierto con un mosquete o una
240904165905759 Main.main()	INFO:  (22 caracteres) : partesana, se dirigían
240904165905759 Main.main()	INFO:  (57 caracteres) : hacia la hostería del Franc Meunier, ante la cual bullía,
240904165905759 Main.main()	INFO:  (12 caracteres) : creciendo de
240904165905760 Main.main()	INFO:  (36 caracteres) : minuto en minuto, un grupo compacto,
240904165905760 Main.main()	INFO:  (56 caracteres) : ruidoso y lleno de curiosidad. En ese tiempo los pánicos
240904165905760 Main.main()	INFO:  (29 caracteres) : eran frecuentes, y pocos días
240904165905761 Main.main()	INFO:  (59 caracteres) : pasaban sin que una aldea a otra registrara en sus archivos
240904165905761 Main.main()	INFO:  (55 caracteres) : algún acontecimiento de ese género. Estaban los señores
240904165905761 Main.main()	INFO:  (20 caracteres) : que guerreaban entre
240904165905762 Main.main()	INFO:  (37 caracteres) : sí; estaba el rey que hacía la guerra
240904165905762 Main.main()	INFO:  (58 caracteres) : al cardenal; estaba el Español que hacía la guerra al rey.
240904165905762 Main.main()	INFO:  (58 caracteres) : Luego, además de estas guerras sordas o públicas, secretas
240904165905763 Main.main()	INFO:  (51 caracteres) : o patentes, estaban los ladrones, los mendigos, los
240904165905763 Main.main()	INFO:  (57 caracteres) : hugonotes, los lobos y los lacayos que hacían la guerra a
240904165905763 Main.main()	INFO:  (14 caracteres) : todo el mundo.
240904165905764 Main.main()	INFO:  (24 caracteres) : Los burgueses se armaban
240904165905764 Main.main()	INFO:  (39 caracteres) : siempre contra los ladrones, contra los
240904165905765 Main.main()	INFO:  (60 caracteres) : lobos, contra los lacayos, con frecuencia contra los señores
240904165905765 Main.main()	INFO:  (16 caracteres) : y los hugonotes,
240904165905766 Main.main()	INFO:  (23 caracteres) : algunas veces contra el
240904165905766 Main.main()	INFO:  (59 caracteres) : rey, pero nunca contra el cardenal ni contra el Español. De
240904165905766 Main.main()	INFO:  (21 caracteres) : este hábito adquirido
240904165905767 Main.main()	INFO:  (21 caracteres) : resulta, pues, que el
240904165905767 Main.main()	INFO:  (16 caracteres) : susodicho primer
240904165905767 Main.main()	INFO:  (53 caracteres) : lunes del mes de abril de 1625, los burgueses, al oír
240904165905768 Main.main()	INFO:  (34 caracteres) : el barullo y no ver ni el banderín
240904165905768 Main.main()	INFO:  (28 caracteres) : amarillo y rojo ni la librea
240904165905768 Main.main()	INFO:  (39 caracteres) : del duque de Richelieu, se precipitaron
240904165905768 Main.main()	INFO:  (21 caracteres) : hacia la hostería del
240904165905769 Main.main()	INFO:  (14 caracteres) : Franc Meunier.
240904165905769 Main.main()	INFO: MODA de longitud de palabras: 21
