240904170300510 Main.main()	INFO: Textos de Don Quijote: 
240904170300537 Main.main()	INFO:  (28 caracteres) : de carnes, enjuto de rostro;
240904170300537 Main.main()	INFO:  (53 caracteres) : gran madrugador y amigo de la caza. Quieren decir que
240904170300538 Main.main()	INFO:  (20 caracteres) : tenía el sobrenombre
240904170300538 Main.main()	INFO:  (37 caracteres) : de Quijada o Quesada (que en esto hay
240904170300538 Main.main()	INFO:  (32 caracteres) : alguna diferencia en los autores
240904170300539 Main.main()	INFO:  (76 caracteres) : que deste caso escriben), aunque por conjeturas verosímiles se deja entender
240904170300539 Main.main()	INFO:  (12 caracteres) : que se llama
240904170300539 Main.main()	INFO:  (26 caracteres) : Quijana; pero esto importa
240904170300540 Main.main()	INFO:  (32 caracteres) : poco a nuestro cuento; basta que
240904170300540 Main.main()	INFO:  (46 caracteres) : en la narración dél no se salga un punto de la
240904170300540 Main.main()	INFO:  (56 caracteres) : verdad.
Es, pues, de saber, que este sobredicho hidalgo,
240904170300541 Main.main()	INFO:  (54 caracteres) : los ratos que estaba ocioso (que eran los más del año)
240904170300541 Main.main()	INFO:  (9 caracteres) : se daba a
240904170300542 Main.main()	INFO:  (64 caracteres) : leer libros de caballerías con tanta afición y gusto, que olvidó
240904170300542 Main.main()	INFO:  (49 caracteres) : casi de todo punto el ejercicio de la caza, y aun
240904170300543 Main.main()	INFO:  (23 caracteres) : la administración de su
240904170300543 Main.main()	INFO:  (19 caracteres) : hacienda; y llegó a
240904170300544 Main.main()	INFO:  (19 caracteres) : tanto su curiosidad
240904170300544 Main.main()	INFO:  (48 caracteres) : y desatino en esto, que vendió muchas hanegas de
240904170300544 Main.main()	INFO:  (56 caracteres) : tierra de sembradura, para comprar libros de caballerías
240904170300545 Main.main()	INFO:  (34 caracteres) : en que leer; y así llevó a su casa
240904170300545 Main.main()	INFO:  (32 caracteres) : todos cuantos pudo haber dellos;
240904170300545 Main.main()	INFO:  (31 caracteres) : y de todos ningunos le parecían
240904170300546 Main.main()	INFO:  (29 caracteres) : tan bien como los que compuso
240904170300546 Main.main()	INFO:  (39 caracteres) : el famoso Feliciano de Silva: porque la
240904170300546 Main.main()	INFO:  (14 caracteres) : claridad de su
240904170300547 Main.main()	INFO:  (47 caracteres) : prosa, y aquellas intrincadas razones suyas, le
240904170300547 Main.main()	INFO:  (42 caracteres) : parecían de perlas; y más cuando llegaba a
240904170300548 Main.main()	INFO:  (61 caracteres) : leer aquellos requiebros y cartas de desafío, donde en muchas
240904170300549 Main.main()	INFO:  (51 caracteres) : partes hallaba escrito: la razón de la sinrazón que
240904170300549 Main.main()	INFO:  (36 caracteres) : a mi razón se hace, de tal manera mi
240904170300550 Main.main()	INFO:  (34 caracteres) : razón enflaquece, que con razón me
240904170300550 Main.main()	INFO:  (30 caracteres) : quejo de la vuestra fermosura,
240904170300550 Main.main()	INFO:  (43 caracteres) : y también cuando leía: los altos cielos que
240904170300551 Main.main()	INFO:  (50 caracteres) : de vuestra divinidad divinamente con las estrellas
240904170300551 Main.main()	INFO:  (67 caracteres) : se fortifican, y os hacen merecedora del merecimiento que merece la
240904170300551 Main.main()	INFO:  (40 caracteres) : vuestra grandeza. Con estas y semejantes
240904170300552 Main.main()	INFO:  (46 caracteres) : razones perdía el pobre caballero el juicio, y
240904170300552 Main.main()	INFO:  (28 caracteres) : desvelábase por entenderlas,
240904170300552 Main.main()	INFO:  (19 caracteres) : y desentrañarles el
240904170300553 Main.main()	INFO:  (47 caracteres) : sentido, que no se lo sacara, ni las entendiera
240904170300553 Main.main()	INFO:  (45 caracteres) : el mismo Aristóteles, si resucitara para sólo
240904170300554 Main.main()	INFO:  (32 caracteres) : ello. No estaba muy bien con las
240904170300554 Main.main()	INFO:  (29 caracteres) : heridas que don Belianis daba
240904170300554 Main.main()	INFO:  (55 caracteres) : y recibía, porque se imaginaba que por grandes maestros
240904170300555 Main.main()	INFO:  (34 caracteres) : que le hubiesen curado, no dejaría
240904170300555 Main.main()	INFO:  (20 caracteres) : de tener el rostro y
240904170300556 Main.main()	INFO:  (20 caracteres) : todo el cuerpo lleno
240904170300556 Main.main()	INFO:  (24 caracteres) : de cicatrices y señales;
240904170300556 Main.main()	INFO:  (13 caracteres) : pero con todo
240904170300557 Main.main()	INFO:  (35 caracteres) : alababa en su autor aquel acabar su
240904170300557 Main.main()	INFO:  (20 caracteres) : libro con la promesa
240904170300558 Main.main()	INFO:  (33 caracteres) : de aquella inacabable aventura, y
240904170300558 Main.main()	INFO:  (15 caracteres) : muchas veces le
240904170300559 Main.main()	INFO:  (29 caracteres) : vino deseo de tomar la pluma,
240904170300559 Main.main()	INFO:  (24 caracteres) : y darle fin al pie de la
240904170300559 Main.main()	INFO:  (15 caracteres) : letra como allí
240904170300560 Main.main()	INFO:  (47 caracteres) : se promete; y sin duda alguna lo hiciera, y aun
240904170300560 Main.main()	INFO:  (17 caracteres) : saliera con ello,
240904170300561 Main.main()	INFO:  (47 caracteres) : si otros mayores y continuos pensamientos no se
240904170300561 Main.main()	INFO:  (14 caracteres) : lo estorbaran.
240904170300562 Main.main()	INFO: MODA de longitud de palabras Don Quijote: 20
240904170300562 Main.main()	INFO: Textos de Los Mosqueteros: 
240904170300563 Main.main()	INFO:  (32 caracteres) : El primer lunes del mes de abril
240904170300563 Main.main()	INFO:  (42 caracteres) : de 1625, el burgo de Meung, donde nació el
240904170300563 Main.main()	INFO:  (15 caracteres) : autor del Roman
240904170300564 Main.main()	INFO:  (19 caracteres) : de la Rose, parecía
240904170300564 Main.main()	INFO:  (48 caracteres) : estar en una revolución tan completa como si los
240904170300565 Main.main()	INFO:  (33 caracteres) : hugonotes hubieran venido a hacer
240904170300565 Main.main()	INFO:  (50 caracteres) : de ella una segunda Rochelle. Muchos burgueses, al
240904170300566 Main.main()	INFO:  (8 caracteres) : ver huir
240904170300567 Main.main()	INFO:  (49 caracteres) : a las mujeres por la calle Mayor, al oír gritar a
240904170300567 Main.main()	INFO:  (41 caracteres) : los niños en el umbral de las puertas, se
240904170300567 Main.main()	INFO:  (58 caracteres) : apresuraban a endosarse la coraza y, respaldando su aplomo
240904170300568 Main.main()	INFO:  (17 caracteres) : algo incierto con
240904170300568 Main.main()	INFO:  (31 caracteres) : un mosquete o una partesana, se
240904170300569 Main.main()	INFO:  (53 caracteres) : dirigían hacia la hostería del Franc Meunier, ante la
240904170300569 Main.main()	INFO:  (35 caracteres) : cual bullía, creciendo de minuto en
240904170300569 Main.main()	INFO:  (10 caracteres) : minuto, un
240904170300570 Main.main()	INFO:  (15 caracteres) : grupo compacto,
240904170300570 Main.main()	INFO:  (18 caracteres) : ruidoso y lleno de
240904170300570 Main.main()	INFO:  (62 caracteres) : curiosidad. En ese tiempo los pánicos eran frecuentes, y pocos
240904170300571 Main.main()	INFO:  (37 caracteres) : días pasaban sin que una aldea a otra
240904170300571 Main.main()	INFO:  (62 caracteres) : registrara en sus archivos algún acontecimiento de ese género.
240904170300571 Main.main()	INFO:  (51 caracteres) : Estaban los señores que guerreaban entre sí; estaba
240904170300572 Main.main()	INFO:  (10 caracteres) : el rey que
240904170300572 Main.main()	INFO:  (38 caracteres) : hacía la guerra al cardenal; estaba el
240904170300572 Main.main()	INFO:  (27 caracteres) : Español que hacía la guerra
240904170300573 Main.main()	INFO:  (14 caracteres) : al rey. Luego,
240904170300573 Main.main()	INFO:  (9 caracteres) : además de
240904170300574 Main.main()	INFO:  (22 caracteres) : estas guerras sordas o
240904170300574 Main.main()	INFO:  (18 caracteres) : públicas, secretas
240904170300574 Main.main()	INFO:  (51 caracteres) : o patentes, estaban los ladrones, los mendigos, los
240904170300575 Main.main()	INFO:  (14 caracteres) : hugonotes, los
240904170300575 Main.main()	INFO:  (7 caracteres) : lobos y
240904170300576 Main.main()	INFO:  (42 caracteres) : los lacayos que hacían la guerra a todo el
240904170300576 Main.main()	INFO:  (71 caracteres) : mundo. Los burgueses se armaban siempre contra los ladrones, contra los
240904170300576 Main.main()	INFO:  (60 caracteres) : lobos, contra los lacayos, con frecuencia contra los señores
240904170300577 Main.main()	INFO:  (37 caracteres) : y los hugonotes, algunas veces contra
240904170300577 Main.main()	INFO:  (18 caracteres) : el rey, pero nunca
240904170300578 Main.main()	INFO:  (28 caracteres) : contra el cardenal ni contra
240904170300578 Main.main()	INFO:  (11 caracteres) : el Español.
240904170300578 Main.main()	INFO:  (63 caracteres) : De este hábito adquirido resulta, pues, que el susodicho primer
240904170300579 Main.main()	INFO:  (13 caracteres) : lunes del mes
240904170300579 Main.main()	INFO:  (17 caracteres) : de abril de 1625,
240904170300580 Main.main()	INFO:  (41 caracteres) : los burgueses, al oír el barullo y no ver
240904170300580 Main.main()	INFO:  (36 caracteres) : ni el banderín amarillo y rojo ni la
240904170300580 Main.main()	INFO:  (52 caracteres) : librea del duque de Richelieu, se precipitaron hacia
240904170300581 Main.main()	INFO:  (30 caracteres) : la hostería del Franc Meunier.
240904170300581 Main.main()	INFO: MODA de longitud de palabras Los mosqueteros: 18
